run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
119,-185.15,-170.95,-167.58,-161.53,-161.20,-160.81,-160.75,-160.19,-159.37,-157.59,-167.86454545454546
534,-193.85,-192.83,-187.13,-178.71,-177.18,-173.51,-172.09,-171.86,-171.26,-170.62,-183.08527272727278
222,-194.41,-184.87,-183.67,-181.33,-175.37,-175.05,-174.34,-171.70,-171.12,-170.20,-181.79945454545458
022,-189.21,-180.09,-177.28,-171.07,-169.73,-163.11,-161.66,-161.15,-160.93,-157.44,-174.03563636363637
643,-174.31,-170.42,-169.31,-167.59,-158.04,-153.82,-152.60,-151.27,-151.20,-150.94,-164.35236363636363
055,-196.81,-190.92,-186.18,-177.85,-174.12,-172.55,-172.29,-171.35,-171.33,-170.08,-182.62163636363633
639,-181.01,-169.17,-165.65,-162.14,-161.74,-157.53,-156.19,-155.67,-155.32,-155.09,-165.60727272727271
728,-181.97,-180.82,-172.27,-169.70,-160.60,-160.44,-159.60,-156.74,-153.25,-152.23,-169.93254545454545
398,-173.85,-165.90,-160.70,-159.29,-158.31,-155.88,-155.77,-155.58,-155.16,-154.77,-162.11636363636362
431,-164.61,-140.21,-137.73,-134.72,-133.33,-127.67,-127.51,-127.23,-126.84,-125.69,-139.31454545454545
549,-219.87,-217.74,-205.69,-200.91,-198.78,-196.65,-196.35,-196.20,-187.45,-186.94,-205.85490909090908
475,-206.18,-190.31,-179.65,-173.94,-168.80,-167.06,-164.79,-159.26,-158.28,-156.50,-179.7721818181818
169,-170.76,-168.10,-164.87,-154.99,-147.87,-141.67,-141.48,-138.96,-137.20,-136.84,-156.61818181818182
556,-257.54,-242.96,-233.74,-230.76,-229.36,-222.03,-219.23,-215.78,-215.22,-213.68,-234.58127272727276
355,-167.20,-144.81,-144.56,-142.32,-141.77,-135.62,-130.77,-128.20,-125.42,-124.14,-144.35254545454546
733,-157.42,-152.04,-151.86,-144.59,-143.04,-139.30,-136.59,-135.23,-134.14,-133.37,-146.87290909090908
